species	common_name	family	adult_necropsy_count	neoplasia_necropsy	neoplasia_prevalence	benign_count	benign_prevalence	malignant_count	malignant_prevalence	body_mass	mass_g	log_body_mass	mature_f	mature_m	mature_age	MLS.anage	LQ	tax_id
Alouatta_caraya	Black howler	Atelidae	32	4	0.125	3	0.09375	1	0.03125	5.4625	5462.5	3.73739144997848	3.2	2.54	3.2	32.4	0.984631545411751	9502
Ateles_geoffroyi	Black-handed spider monkey	Atelidae	43	13	0.302325581395349	5	0.116279069767442	8	0.186046511627907	7.2675	7267.5	3.86138504044247	5	5	5	47.1	1.35617225068527	9509
Callimico_goeldii	Goeldi's monkey	Cebidae	69	15	0.217391304347826	8	0.115942028985507	7	0.101449275362319	0.555	555	2.74429298312268	1	1.08	1.08	22.2	1.03938709413631	9495
Callithrix_geoffroyi	White-fronted marmoset	Cebidae	31	3	0.0967741935483871	2	0.0645161290322581	1	0.032258064516129	0.342	342	2.53402610605613	1.31	1.05	1.31	17.6	0.902978589935649	52231
Callithrix_jacchus	Common marmoset	Cebidae	41	1	0.024390243902439	0	0	1	0.024390243902439	0.2552	255.2	2.40688067004912	1.31	1.05	1.31	22.8	1.23631779319117	9483
Cercopithecus_neglectus	De Brazza's monkey	Cercopithecidae	28	2	0.0714285714285714	1	0.0357142857142857	1	0.0357142857142857	5.945	5945	3.77415185895471	4.41	7	7	30.8	0.921152922887957	36227
Colobus_guereza	Colobus monkey	Cercopithecidae	97	10	0.103092783505155	6	0.0618556701030928	4	0.0412371134020619	9.95	9950	3.99782308074573	4	6.01	6.01	35	0.949675428550266	33548
Eulemur_macaco	Black lemur	Lemuridae	30	9	0.3	3	0.1	6	0.2	2.467	2467	3.39216914948974	1.48	0.73	1.48	37.5	1.32436293552723	30602
Galago_moholi	Moholi bushbaby	Galagidae	32	3	0.09375	1	0.03125	2	0.0625	0.1692	169.2	2.228400358703	0.4	1.02	1.02	16.6	0.972828173770322	30609
Galago_senegalensis	Senegal bushbaby	Galagidae	66	1	0.0151515151515152	0	0	1	0.0151515151515152	0.1922	192.2	2.28375338333253	0.66	0.82	0.82	17.1	0.978278345245565	9465
Hylobates_lar	Lar gibbon	Hylobatidae	44	7	0.159090909090909	0	0	7	0.159090909090909	6.81	6810	3.83314711191279	7	5	7	56	1.63237126876356	9580
Leontopithecus_chrysomelas	Golden-headed lion tamarin	Cebidae	51	6	0.117647058823529	0	0	6	0.117647058823529	0.535	535	2.72835378202123	1.79	2	2	21.3	1.00419130810494	57374
Leontopithecus_rosalia	Golden lion tamarin	Cebidae	90	11	0.122222222222222	6	0.0666666666666667	5	0.0555555555555556	0.6545	654.5	2.81590965088677	1.5	2	2	31.6	1.43408825146479	30588
Macaca_fascicularis	Crab-eating macaque	Cercopithecidae	37	2	0.0540540540540541	2	0.0540540540540541	0	0	6.3625	6362.5	3.80362779534481	3.39	4.23	4.23	39	1.15152845211547	9541
Macaca_fuscata	Japanese macaque	Cercopithecidae	43	4	0.0930232558139535	3	0.0697674418604651	1	0.0232558139534884	8.8825	8882.5	3.94853521616137	4.06	3.75	4.06	38.5	1.06729209546774	9542
Macaca_silenus	Lion-tailed macaque	Cercopithecidae	68	6	0.0882352941176471	4	0.0588235294117647	2	0.0294117647058824	7.875	7875	3.89625056246164	3.92	3.88	3.92	40	1.13439513248979	54601
Mico_argentatus	Silvery marmoset	Cebidae	20	1	0.05	1	0.05	0	0	0.3432	343.2	2.53554727917667	0.83	0.92	0.92	16.5	0.845982204823032	9482
Microcebus_murinus	Grey mouse lemur	Cheirogaleidae	57	14	0.245614035087719	0	0	14	0.245614035087719	0.0648	64.8	1.81157500587059	0.67	0.67	0.67	18.2	1.27873169898261	30608
Nycticebus_coucang	Slow loris	Lorisidae	24	2	0.0833333333333333	0	0	2	0.0833333333333333	0.8905	890.5	2.94963392379926	0.49	1.5	1.5	25.8	1.10467522417975	9470
Nycticebus_pygmaeus	Pygmy slow loris	Lorisidae	49	13	0.26530612244898	2	0.0408163265306122	11	0.224489795918367	0.419	419	2.6222140229663	0.75	1.58	1.58	19.3	0.952915909904387	101278
Propithecus_coquereli	Coquerel's sifaka	Indriidae	25	4	0.16	2	0.08	2	0.08	5	5000	3.69897000433602	3.5	3.5	3.5	30.6	0.945609474579486	379532
Saguinus_bicolor	Pied tamarin	Cebidae	25	1	0.04	0	0	1	0.04	0.4958	495.8	2.6953065224318	1.5	2	2	19	0.908733184357901	37588
Saguinus_imperator	Emperor tamarin	Cebidae	36	0	0	0	0	0	0	0.5185	518.5	2.71474876072506	1.5	2	2	23.7	1.12397473605413	9491
Saguinus_midas	Red-handed tamarin	Cebidae	22	0	0	0	0	0	0	0.5538	553.8	2.74335295140956	1.67	1.5	1.67	21	0.983606310228776	30586
Sapajus_apella	Tufted capuchin	Cebidae	26	3	0.115384615384615	3	0.115384615384615	0	0	2.85	2850	3.45484486000851	4.67	8	8	46	1.5808398403266	9515
Theropithecus_gelada	Gelada baboon	Cercopithecidae	52	1	0.0192307692307692	0	0	1	0.0192307692307692	16.2	16200	4.20951501454263	3.81	6	6	36	0.890840355072966	9565
Trachypithecus_auratus	Javan langur	Cercopithecidae	27	1	0.037037037037037	0	0	1	0.037037037037037	9.72	9720	3.98766626492627	3.5	NA	NA	31.1	0.847592654426344	222416
Trachypithecus_cristatus	Silvery langur	Cercopithecidae	28	1	0.0357142857142857	1	0.0357142857142857	0	0	6.185	6185	3.79133970396514	4	3.5	4	28.3	0.840076721920615	122765
Trachypithecus_francoisi	Francois' langur	Cercopithecidae	30	4	0.133333333333333	1	0.0333333333333333	3	0.1	7.325	7325	3.86480762902615	4	4.5	4	26.3	0.75614106723843	54180
