species1,species2,n_population1,n_cases1,trait1,trait_ci_lb1,trait_ci_ub1,n_population2,n_cases2,trait2,trait_ci_lb2,trait_ci_ub2,trait_diff,trait_overlap,diff_value,overlap_use
Alouatta_caraya,Alouatta_caraya,32,1,0.03125,6.36225594238962e-05,0.115852039252108,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0,TRUE,0,TRUE
Ateles_geoffroyi,Alouatta_caraya,43,8,0.186046511627907,0.0844083412845063,0.309902097775075,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.154796511627907,TRUE,0.154796511627907,TRUE
Callimico_goeldii,Alouatta_caraya,69,7,0.101449275362319,0.0408208811701564,0.180074302126955,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.070199275362319,TRUE,0.070199275362319,TRUE
Callithrix_geoffroyi,Alouatta_caraya,31,1,0.032258064516129,6.62184367684061e-05,0.119386818330661,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.001008064516129,TRUE,0.001008064516129,TRUE
Callithrix_jacchus,Alouatta_caraya,41,1,0.024390243902439,4.69527767274654e-05,0.0914709354519275,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.006859756097561,TRUE,-0.006859756097561,TRUE
Cercopithecus_neglectus,Alouatta_caraya,28,1,0.0357142857142857,7.54165716449291e-05,0.131413591050072,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.0044642857142857,TRUE,0.0044642857142857,TRUE
Colobus_guereza,Alouatta_caraya,97,4,0.0412371134020619,0.0101976060206292,0.0875220898902035,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.0099871134020619,TRUE,0.0099871134020619,TRUE
Eulemur_macaco,Alouatta_caraya,30,6,0.2,0.0779938590754792,0.35204689394332,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.16875,TRUE,0.16875,TRUE
Galago_moholi,Alouatta_caraya,32,2,0.0625,0.00532221472983759,0.164579053613524,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.03125,TRUE,0.03125,TRUE
Galago_senegalensis,Alouatta_caraya,66,1,0.0151515151515152,2.70561599553178e-05,0.0577160047524064,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.0160984848484848,TRUE,-0.0160984848484848,TRUE
Hylobates_lar,Alouatta_caraya,44,7,0.159090909090909,0.0662158815925952,0.275666772011294,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.127840909090909,TRUE,0.127840909090909,TRUE
Leontopithecus_chrysomelas,Alouatta_caraya,51,6,0.117647058823529,0.0433930085414775,0.215122793216635,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.086397058823529,TRUE,0.086397058823529,TRUE
Leontopithecus_rosalia,Alouatta_caraya,90,5,0.0555555555555556,0.0171152583148751,0.109702508271935,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.0243055555555556,TRUE,0.0243055555555556,TRUE
Macaca_fascicularis,Alouatta_caraya,37,0,0,0,0.0502538664118669,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.03125,TRUE,-0.03125,TRUE
Macaca_fuscata,Alouatta_caraya,43,1,0.0232558139534884,4.43570255945288e-05,0.0873833907810398,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.0079941860465116,TRUE,-0.0079941860465116,TRUE
Macaca_silenus,Alouatta_caraya,68,2,0.0294117647058824,0.00232502360660842,0.0799697548438146,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.0018382352941176,TRUE,-0.0018382352941176,TRUE
Mico_argentatus,Alouatta_caraya,20,0,0,0,0.0904764265378722,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.03125,TRUE,-0.03125,TRUE
Microcebus_murinus,Alouatta_caraya,57,14,0.245614035087719,0.143143776921009,0.361679877334054,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.214364035087719,FALSE,0.214364035087719,FALSE
Nycticebus_coucang,Alouatta_caraya,24,2,0.0833333333333333,0.00744065839317517,0.215076015702136,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.0520833333333333,TRUE,0.0520833333333333,TRUE
Nycticebus_pygmaeus,Alouatta_caraya,49,11,0.224489795918367,0.119255643021404,0.34681383843601,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.193239795918367,FALSE,0.193239795918367,FALSE
Propithecus_coquereli,Alouatta_caraya,25,2,0.08,0.00708887477779123,0.207136510125643,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.04875,TRUE,0.04875,TRUE
Saguinus_bicolor,Alouatta_caraya,25,1,0.04,8.7486963786008e-05,0.146129731147202,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.00875,TRUE,0.00875,TRUE
Saguinus_imperator,Alouatta_caraya,36,0,0,0,0.0516036429663788,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.03125,TRUE,-0.03125,TRUE
